sent_id	left_context	pivot	right_context
weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0003	Today's incident proves that 	Sharon	 has lost his patience and his hope in peace. 
weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002	The 	US	 lost yet another helicopter to hostile fire near Habbaniyah in the Sunni heartland, but this time the crew was safe. 
answers-20111108105022AA0Q5wb_ans-0008	I'm not kidding , 	I	 once lost a hamster in my house 3 months later I walk down in the basement and it was as big as a rat. 
weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0096	So 	we	 "lost" some weapon? 
email-enronsent30_01-0027	I understand all of those comparisons, however, the reality is if 	we	 lose Dean (which we will if we don't pay 65k + 10k), we will end up hiring a replacement at 75-80k. 
email-enronsent35_01-0116		I've	 simply lost track! 
newsgroup-groups.google.com_IndiaNewsWindow_1405662573fa84ed_ENG_20050831_110400-0018	Before the phones went, I was told [my 	family	 in Biloxi] had lost their roof, barn, 2 oak trees and many pines and they were letting in water 
newsgroup-groups.google.com_IndiaNewsWindow_1405662573fa84ed_ENG_20050831_110400-0036	Survivors are being found all the time, including two children 	who	 lost their parents. 
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0001	By Graydon Carter (excepted from "What 	We've	 Lost", published by Little Brown) 
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0152	2.3m - Number of Americans 	who	 lost their jobs during first three Years of the Bush administration. 
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0180	2.4m - Number of Americans 	who	 lost their health insurance during Bush's first year in office. 
answers-20111108102428AAMzXRG_ans-0007	So if 	you	 lose him, he is easier to find, because smaller rodents just LOVE to escape from their cages. 
answers-20111108105749AABv7vx_ans-0006	you are not just moving house - your 	cat	 is losing his territory. 
answers-20111108104724AAuBUR7_ans-0006	I have a 5 year old 	that	 lost all of his cheek muscle on the right side about 3-4 months ago. 
answers-20111108104724AAuBUR7_ans-0009	I got him back the first of the month and 	he	 had lost some weight but attributed that to be worked everyday (I expected him to drop some). 
answers-20111108104724AAuBUR7_ans-0010		He	 is now losing the cheek muscle on the left side of his face and seems to be dropping weight by the day. 
answers-20111108104724AAuBUR7_ans-0080	It might just be coincidence or the fact those great big 	trotters	 with those extremely long backs lost a bit of fine coordination to get those gangly bodies around those tighter turns. 
reviews-365154-0006		You	 have just lost mine. 
reviews-310032-0005	I am waiting longer at BNA for my pickups and last time I parked with them, 	they	 lost my car key. 
reviews-247097-0005		I	 actually loss 4 pounds after my 1st treatment and 2 pounds after my 2nd treatment. 
reviews-026883-0011	How do 	you	 lose a drawer. 
